2,3,4,5,6,7,8,9
П-ция,Марка насоса,Производитель насоса,марка ТУ,Принадлежность,Код сб. спец.,ID материала,ID рем.компл.
Н-601А,НПС-120/65-750,Бобруйский маш. завод,90СД-Н601А/В,ТРЭМ,741,339198,339199
Н-601Б,НПС-120/65-750,Бобруйский маш. завод,90СД-Н601А/В,ТРЭМ,741,339198,339199
Н-603А,НПС-120/65-750,Бобруйский маш. завод,90СД-Н603А/В,ТРЭМ,741,339198,339199
Н-603Б,НПС-120/65-750,Бобруйский маш. завод,90СД-Н603А/В,ТРЭМ,741,339198,339199
Н-602А,70 NET-230-14,Sigma,48РДУ-Н602А/В,ТРЭМ,971,339177,339178
Н-602Б,70 NET-230-14,Sigma,48РДУ-Н602А/В,ТРЭМ,971,339177,339178
Н-624A,100NED-315-22,Sigma,70СД-Н624,ТРЭМ,973,339195,339196
Н-624Б,100NED-315-22,Sigma,70СД-Н624,ТРЭМ,973,339195,339196
Н-630А,100NEA-305-16,Sigma,65РДУ-Н630,ТРЭМ,975,339244,
Н-604А,80NET-265-16,Sigma,СКВ-0700-G910,ТРЭМ,6475,,
Н-604Б,80NET-265-16,Sigma,СКВ-0700-G910,ТРЭМ,6475,,
Н-630Б,100NEA-305-16,Sigma,65РДУ-Н630,ТРЭМ,975,339244,
Н-607А,40-NET-175,Sigma,RDT2-0400-NQD,ТРЭМ,3018,356351,
Н-628А,200NED-330-32,Sigma,СД2-0600-6370,ТРЭМ,6370,616002,616000
Н-628Б,200NED-330-32,Sigma,СД2-0600-6370,ТРЭМ,6370,616002,616000
Н-629А,100NED-315-22,Sigma,СД2-0600-6370,ТРЭМ,6370,616002,616000
Н-629Б,100NED-315-22,Sigma,СД2-0600-6370,ТРЭМ,6370,616002,616000
Н-614А,80NEA-265-16,Sigma,СКВ-0700-G910,ТРЭМ,6475,,
Н-614Б,80NEA-265-16,Sigma,СКВ-0700-G910,ТРЭМ,6475,,
Н-608А,А40-NEG-250-10,Sigma,48РДУ-Н608,ТРЭМ,33802,339203,339204
Н-608Б,А40-NEG-250-10,Sigma,48РДУ-Н608,ТРЭМ,33802,339203,339204
